着順,馬番,馬齢,オッズ,斤量,脚質,総合値,SP値,AG値,SA値,馬連率,戦数,賞金平均,KI値,id,race,頭数
1.0,5,牡3,1.7,56,2 先,50.0,55.0,100.0,101.0,0.0,2.0,95.0,15.0,20130303_小倉_結果_1,1,16
2.0,6,牡3,7.9,56,2 先,27.0,85.0,95.0,81.0,0.0,7.0,41.0,20.0,20130303_小倉_結果_1,1,16
3.0,9,牡3,13.8,56,3 差,26.0,45.0,65.0,78.0,0.0,5.0,34.0,30.0,20130303_小倉_結果_1,1,16
4.0,3,牝3,16.4,54,2 先,10.0,35.0,76.0,89.0,0.0,5.0,15.0,15.0,20130303_小倉_結果_1,1,16
5.0,8,牡3,9.6,56,3 差,27.0,85.0,88.0,79.0,0.0,4.0,37.0,20.0,20130303_小倉_結果_1,1,16
6.0,11,牝3,39.2,54,3 差,20.0,40.0,94.0,80.0,0.0,3.0,60.0,25.0,20130303_小倉_結果_1,1,16
7.0,12,牝3,6.1,54,1 逃,29.0,55.0,95.0,92.0,25.0,4.0,62.0,30.0,20130303_小倉_結果_1,1,16
8.0,2,牡3,175.5,53,3 差,18.0,35.0,48.0,76.0,0.0,12.0,0.0,10.0,20130303_小倉_結果_1,1,16
9.0,1,牡3,33.7,54,3 差,17.0,50.0,78.0,73.0,0.0,2.0,45.0,15.0,20130303_小倉_結果_1,1,16
10.0,16,牝3,63.0,52,2 先,9.0,0.0,79.0,70.0,0.0,4.0,12.0,20.0,20130303_小倉_結果_1,1,16
11.0,4,牡3,242.7,56,3 差,5.0,0.0,67.0,76.0,0.0,9.0,0.0,15.0,20130303_小倉_結果_1,1,16
12.0,7,牡3,157.7,56,4 追,5.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,20130303_小倉_結果_1,1,16
13.0,14,牝3,42.9,54,2 先,19.0,0.0,20.0,38.0,0.0,4.0,60.0,35.0,20130303_小倉_結果_1,1,16
14.0,10,牡3,98.0,56,4 追,16.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,20130303_小倉_結果_1,1,16
15.0,15,牡3,66.8,56,2 先,11.0,0.0,68.0,53.0,0.0,7.0,0.0,10.0,20130303_小倉_結果_1,1,16
16.0,13,牡3,123.4,56,4 追,16.0,10.0,42.0,51.0,0.0,12.0,0.0,20.0,20130303_小倉_結果_1,1,16
1.0,10,牡4,4.0,57,3 差,28.0,80.0,74.0,104.0,20.0,15.0,54.0,20.0,20130303_小倉_結果_2,2,14
2.0,14,牡5,5.2,55,2 先,22.0,50.0,100.0,106.0,25.0,24.0,34.0,20.0,20130303_小倉_結果_2,2,14
3.0,3,牡4,3.0,57,1 逃,26.0,65.0,8.0,113.0,50.0,4.0,217.0,25.0,20130303_小倉_結果_2,2,14
4.0,4,牡5,22.8,54,2 先,7.0,30.0,0.0,71.0,18.0,11.0,0.0,0.0,20130303_小倉_結果_2,2,14
5.0,13,牡4,13.3,57,2 先,56.0,100.0,25.0,93.0,12.0,16.0,20.0,35.0,20130303_小倉_結果_2,2,14
6.0,11,牡4,10.1,57,2 先,29.0,50.0,58.0,99.0,10.0,10.0,64.0,30.0,20130303_小倉_結果_2,2,14
7.0,6,セ5,65.5,54,3 差,12.0,45.0,65.0,91.0,16.0,24.0,34.0,10.0,20130303_小倉_結果_2,2,14
8.0,1,牡4,57.9,57,4 追,7.0,0.0,0.0,117.0,50.0,10.0,17.0,15.0,20130303_小倉_結果_2,2,14
9.0,2,牝5,17.3,55,3 差,26.0,60.0,70.0,99.0,14.0,21.0,85.0,20.0,20130303_小倉_結果_2,2,14
10.0,5,牝4,22.5,55,3 差,22.0,40.0,28.0,85.0,18.0,11.0,20.0,25.0,20130303_小倉_結果_2,2,14
11.0,7,牝5,13.1,53,3 差,14.0,25.0,36.0,93.0,10.0,20.0,35.0,15.0,20130303_小倉_結果_2,2,14
12.0,9,牡5,35.3,57,3 差,21.0,30.0,32.0,88.0,5.0,17.0,0.0,25.0,20130303_小倉_結果_2,2,14
13.0,12,牡5,104.2,57,3 差,28.0,60.0,0.0,89.0,16.0,12.0,0.0,25.0,20130303_小倉_結果_2,2,14
14.0,8,牝6,55.5,55,4 追,16.0,0.0,0.0,43.0,25.0,4.0,175.0,20.0,20130303_小倉_結果_2,2,14
1.0,15,牡3,8.6,56,3 差,19.0,50.0,20.0,80.0,0.0,3.0,36.0,15.0,20130303_小倉_結果_3,3,18
2.0,13,牡3,3.3,56,2 先,48.0,75.0,85.0,96.0,33.0,3.0,118.0,25.0,20130303_小倉_結果_3,3,18
3.0,5,牡3,20.3,56,2 先,9.0,0.0,100.0,72.0,0.0,2.0,0.0,20.0,20130303_小倉_結果_3,3,18
4.0,1,牝3,9.8,54,1 逃,26.0,75.0,85.0,92.0,20.0,5.0,76.0,25.0,20130303_小倉_結果_3,3,18
5.0,2,牝3,7.5,52,2 先,18.0,0.0,0.0,70.0,25.0,4.0,81.0,20.0,20130303_小倉_結果_3,3,18
6.0,8,牝3,70.3,54,3 差,14.0,55.0,92.0,84.0,0.0,8.0,15.0,15.0,20130303_小倉_結果_3,3,18
7.0,4,牡3,112.4,56,3 差,19.0,0.0,40.0,54.0,0.0,7.0,0.0,25.0,20130303_小倉_結果_3,3,18
